,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,combination,condition_rank,status_rank
0,7995,2010.0,chevrolet,excellent,8 cylinders,gas,194050.0,clean,automatic,4wd,truck,white,7995 excellent clean truck,4,6
1,4000,1995.0,dodge,excellent,8 cylinders,gas,133000.0,clean,automatic,4wd,truck,grey,4000 excellent clean truck,4,6
2,16000,2011.0,bmw,excellent,6 cylinders,gas,85000.0,salvage,automatic,fwd,sedan,grey,16000 excellent salvage sedan,4,1
3,10950,2011.0,buick,excellent,6 cylinders,gas,43418.0,clean,automatic,fwd,sedan,red,10950 excellent clean sedan,4,6
4,9400,2011.0,bmw,good,6 cylinders,gas,145000.0,clean,automatic,4wd,SUV,blue,9400 good clean SUV,3,6
5,4500,2012.0,ford,excellent,6 cylinders,gas,155000.0,clean,automatic,4wd,sedan,silver,4500 excellent clean sedan,4,6
6,1495,2004.0,hyundai,good,6 cylinders,gas,196123.0,clean,automatic,4wd,SUV,red,1495 good clean SUV,3,6
7,2800,2002.0,nissan,like new,6 cylinders,gas,190000.0,clean,automatic,4wd,SUV,silver,2800 like new clean SUV,5,6
8,25900,2008.0,ford,excellent,8 cylinders,gas,73000.0,clean,automatic,rwd,truck,white,25900 excellent clean truck,4,6
9,4999,2007.0,infiniti,good,6 cylinders,gas,113772.0,clean,automatic,rwd,sedan,custom,4999 good clean sedan,3,6
10,8599,2015.0,dodge,good,4 cylinders,gas,38484.0,clean,automatic,fwd,sedan,white,8599 good clean sedan,3,6
11,4800,2008.0,pontiac,good,4 cylinders,gas,106117.0,clean,automatic,fwd,coupe,silver,4800 good clean coupe,3,6
12,27900,2015.0,jaguar,good,6 cylinders,gas,60333.0,clean,automatic,rwd,convertible,silver,27900 good clean convertible,3,6
13,25500,2014.0,ford,good,6 cylinders,gas,88705.0,clean,automatic,4wd,pickup,white,25500 good clean pickup,3,6
14,4200,2008.0,mercedes-benz,fair,5 cylinders,gas,232932.0,clean,automatic,4wd,sedan,blue,4200 fair clean sedan,2,6
15,7000,2015.0,nissan,like new,4 cylinders,gas,72000.0,clean,automatic,fwd,sedan,white,7000 like new clean sedan,5,6
16,5500,2013.0,hyundai,like new,4 cylinders,gas,110000.0,clean,automatic,fwd,sedan,red,5500 like new clean sedan,5,6
17,1500,2003.0,ford,fair,8 cylinders,gas,235000.0,clean,automatic,fwd,pickup,red,1500 fair clean pickup,2,6
18,14900,2017.0,chrysler,excellent,4 cylinders,gas,80903.0,clean,automatic,fwd,sedan,black,14900 excellent clean sedan,4,6
